IdPlat,Nom_,Description
PLA_01,Raclette Tenders,Tenders poulet frits sous raclette fondue
PLA_02,Raclette Kebab,Viande kebab grillée et fromage à raclette
PLA_03,Pizza-Clette,"Pâte à pizza, base raclette, lardons"
PLA_04,Quiche au Gras,Appareil à quiche saturé de raclette
PLA_05,Raclette Océane,Pavé de saumon cuit dans le gras du fromage
PLA_06,L'Interdite,Ananas chaud recouvert de raclette
PLA_07,Raclette au Beurre,Fromage fondu avec noisette de beurre
PLA_08,Tenders Vapeur,Poulet non-frit (triste) et raclette
PLA_09,La Punition (Rare),Un brocoli vapeur caché sous la meule
PLA_10,Burger Alpin,"Steak, pain et inondation de raclette"
PLA_11,Raclette Poutine,"Frites, sauce brune et raclette liquide"
PLA_12,Hot-Dog Clette,"Saucisse, pain brioché, raclette"
PLA_13,Raclette Panée,Le fromage est pané puis re-fondu
PLA_14,La Légère (Mensonge),Raclette sur lit de charcuterie grasse
PLA_15,Raclette 4 Fromages,"Raclette, Raclette, Raclette et Raclette"
